,index,tconst,primaryTitle,averageRating,numVotes,startYear,first,second,third,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western,groupe
34,34,tt0099012,Alice,6.6,15004,1990,Comedy,Romance,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
35,35,tt0099014,All the Vermeers in New York,6.4,1054,1990,Comedy,Drama,Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
36,36,tt0099018,Almost an Angel,5.5,4832,1990,Comedy,Drama,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37,37,tt0099026,The Ambulance,5.9,4051,1990,Action,Comedy,Horror,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
38,38,tt0099040,An Angel at My Table,7.4,8488,1990,Biography,Drama,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
39,39,tt0099043,Anjali,8.2,3134,1990,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
40,40,tt0099044,Another 48 Hrs.,5.9,43659,1990,Action,Comedy,Crime,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41,41,tt0099052,Arachnophobia,6.5,74170,1990,Comedy,Horror,Thriller,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
42,42,tt0099053,Archangel,6.4,1550,1990,Comedy,Drama,Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
43,43,tt0099073,Avalon,7.2,6641,1990,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44,44,tt0099077,Awakenings,7.8,153377,1990,Biography,Drama,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
45,45,tt0099080,Baaghi: A Rebel for Love,5.9,1790,1990,Action,Drama,Romance,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
46,46,tt0099088,Back to the Future Part III,7.4,469471,1990,Adventure,Comedy,Sci-Fi,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
47,47,tt0099091,Bad Influence,6.3,10464,1990,Drama,Thriller,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
48,48,tt0099108,Basket Case 2,5.4,5521,1990,Comedy,Horror,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
49,49,tt0099128,Betsy's Wedding,5.6,3884,1990,Comedy,Romance,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
50,50,tt0099136,Crossing the Line,5.7,1330,1990,Crime,Drama,Sport,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
51,51,tt0099138,The Big Steal,6.8,1415,1990,Comedy,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52,52,tt0099141,Bird on a Wire,6.0,46596,1990,Action,Comedy,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
